contractSymbol,optionType,expiration,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL221216C00030000,call,2022-12-16,2022-11-29 16:39:22,30.0,112.0,111.85,112.55,0.0,0.0,1,2,4.500004375,True,REGULAR,USD
AAPL221216C00035000,call,2022-12-16,2022-11-11 15:15:22,35.0,112.3,106.85,107.6,0.0,0.0,4,22,4.296879628906249,True,REGULAR,USD
AAPL221216C00040000,call,2022-12-16,2022-12-08 16:00:14,40.0,103.05,101.9,102.55,0.0,0.0,3,410,3.8906252734375,True,REGULAR,USD
AAPL221216C00045000,call,2022-12-16,2022-12-09 15:52:43,45.0,98.24,96.9,97.55,1.2399979,1.2783482,4,484,3.5468761328125,True,REGULAR,USD
AAPL221216C00050000,call,2022-12-16,2022-11-18 20:46:59,50.0,101.73,91.9,92.55,0.0,0.0,2,331,3.2343769140624996,True,REGULAR,USD
AAPL221216C00055000,call,2022-12-16,2022-12-07 15:10:29,55.0,86.25,86.9,87.6,0.0,0.0,1,147,3.07031482421875,True,REGULAR,USD
AAPL221216C00060000,call,2022-12-16,2022-11-18 16:29:35,60.0,91.76,81.9,82.6,0.0,0.0,2,176,2.80469048828125,True,REGULAR,USD
AAPL221216C00065000,call,2022-12-16,2022-11-03 18:58:33,65.0,75.37,82.55,83.3,0.0,0.0,50,139,6.028322777099609,True,REGULAR,USD
AAPL221216C00070000,call,2022-12-16,2022-11-23 15:00:02,70.0,81.4,71.9,72.6,0.0,0.0,2,388,2.3359416601562493,True,REGULAR,USD
AAPL221216C00075000,call,2022-12-16,2022-11-29 20:50:29,75.0,66.05,67.0,67.45,0.0,0.0,2,532,2.0468798828125,True,REGULAR,USD
AAPL221216C00080000,call,2022-12-16,2022-12-05 14:48:45,80.0,70.45,61.9,62.6,0.0,0.0,2,908,1.9296878515625,True,REGULAR,USD
AAPL221216C00085000,call,2022-12-16,2022-12-08 15:48:31,85.0,57.96,56.9,57.6,0.0,0.0,2,495,1.74609501953125,True,REGULAR,USD
AAPL221216C00090000,call,2022-12-16,2022-12-09 15:28:13,90.0,52.18,51.95,52.6,-0.9000015,-1.6955568,7,273,1.62109564453125,True,REGULAR,USD
AAPL221216C00095000,call,2022-12-16,2022-11-17 19:38:39,95.0,55.25,46.9,47.6,0.0,0.0,21,405,1.40234673828125,True,REGULAR,USD
AAPL221216C00100000,call,2022-12-16,2022-12-09 18:47:37,100.0,44.35,42.05,42.55,3.8499985,9.506169,90,1262,1.3222690136718749,True,REGULAR,USD
AAPL221216C00105000,call,2022-12-16,2022-12-09 20:38:24,105.0,38.1,36.95,37.65,0.30999756,0.8203164,1,481,1.16016044921875,True,REGULAR,USD
AAPL221216C00110000,call,2022-12-16,2022-12-09 17:07:37,110.0,35.42,32.1,32.5,3.6699982,11.559049,66,1079,1.0039112304687499,True,REGULAR,USD
AAPL221216C00115000,call,2022-12-16,2022-12-09 18:58:19,115.0,29.3,27.1,27.65,1.5,5.395684,73,1035,0.918946123046875,True,REGULAR,USD
AAPL221216C00120000,call,2022-12-16,2022-12-09 19:11:10,120.0,23.98,22.0,22.5,1.1099987,4.853514,50,1735,0.6562534375000001,True,REGULAR,USD
AAPL221216C00125000,call,2022-12-16,2022-12-09 20:06:11,125.0,19.15,17.25,17.55,1.4499989,8.192083,23,2130,0.622074091796875,True,REGULAR,USD
AAPL221216C00130000,call,2022-12-16,2022-12-09 20:57:53,130.0,12.5,12.2,12.65,-0.5500002,-4.2145605,334,5918,0.5576216113281252,True,REGULAR,USD
AAPL221216C00135000,call,2022-12-16,2022-12-09 20:45:14,135.0,8.58,7.95,8.2,-0.13000011,-1.4925386,431,22977,0.49707534179687507,True,REGULAR,USD
AAPL221216C00136000,call,2022-12-16,2022-12-09 20:57:37,136.0,7.29,7.25,7.35,-0.40999985,-5.3246737,572,536,0.481450498046875,True,REGULAR,USD
AAPL221216C00137000,call,2022-12-16,2022-12-09 20:59:19,137.0,6.55,6.5,6.65,-0.3499999,-5.072462,512,437,0.48730981445312505,True,REGULAR,USD
AAPL221216C00138000,call,2022-12-16,2022-12-09 20:59:26,138.0,5.78,5.75,5.85,-0.4199996,-6.774187,914,528,0.47022014160156256,True,REGULAR,USD
AAPL221216C00139000,call,2022-12-16,2022-12-09 20:48:31,139.0,5.35,5.05,5.15,-0.1500001,-2.7272744,494,511,0.463872548828125,True,REGULAR,USD
AAPL221216C00140000,call,2022-12-16,2022-12-09 20:59:59,140.0,4.48,4.45,4.55,-0.52,-10.4,2846,22245,0.46582565429687506,True,REGULAR,USD
AAPL221216C00141000,call,2022-12-16,2022-12-09 20:59:42,141.0,3.86,3.85,3.9,-0.56999993,-12.866816,2544,3455,0.454107021484375,True,REGULAR,USD
